timestamp,process,protocol,local,remote,remote_host,status
2026-03-30 15:28:01,EXCEL.EXE,TCP,192.168.1.101:50633,51.104.15.253:443,-,ESTABLISHED
2026-03-30 15:28:09,Code.exe,TCP,192.168.1.101:50317,4.228.31.144:443,-,ESTABLISHED
2026-03-30 15:28:13,Code.exe,TCP,192.168.1.101:62187,104.46.162.225:443,-,ESTABLISHED
2026-03-30 15:28:13,Code.exe,TCP,192.168.1.101:52074,104.46.162.225:443,-,ESTABLISHED
2026-03-30 15:28:13,Code.exe,TCP,192.168.1.101:64338,140.82.114.22:443,-,ESTABLISHED
2026-03-30 15:28:24,Code.exe,TCP,2804:426c:1b00:2f7c:a45f:39eb:ab82:107a:59573,2603:1030:a07:e::101:443,-,SYN_SENT
2026-03-30 15:28:24,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 15:28:28,Code.exe,TCP,192.168.1.101:52714,104.46.162.225:443,-,ESTABLISHED
2026-03-30 15:28:28,Code.exe,TCP,192.168.1.101:58859,104.46.162.225:443,-,ESTABLISHED
2026-03-30 15:28:32,Code.exe,TCP,192.168.1.101:58013,20.42.73.26:443,-,ESTABLISHED
2026-03-30 15:28:32,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 15:28:36,Code.exe,TCP,192.168.1.101:56650,104.46.162.225:443,-,ESTABLISHED
2026-03-30 15:28:36,Code.exe,TCP,192.168.1.101:62965,104.46.162.225:443,-,ESTABLISHED
2026-03-30 15:28:47,MEGAsync.exe,TCP,192.168.1.101:56653,185.206.25.63:443,-,ESTABLISHED
2026-03-30 15:28:51,Code.exe,TCP,192.168.1.101:51579,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:28:59,MEGAsync.exe,TCP,192.168.1.101:51581,185.206.25.62:443,-,ESTABLISHED
2026-03-30 15:29:10,Code.exe,TCP,192.168.1.101:61190,140.82.114.22:443,-,ESTABLISHED
2026-03-30 15:29:10,MEGAsync.exe,TCP,192.168.1.101:51584,185.206.25.62:443,-,ESTABLISHED
2026-03-30 15:29:14,MEGAsync.exe,TCP,192.168.1.101:56908,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:29:18,Code.exe,TCP,192.168.1.101:49800,169.254.169.254:80,-,SYN_SENT
2026-03-30 15:29:22,MEGAsync.exe,TCP,192.168.1.101:56908,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:29:22,MEGAsync.exe,TCP,192.168.1.101:56909,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:29:37,MEGAsync.exe,TCP,192.168.1.101:65254,185.206.25.60:443,-,ESTABLISHED
2026-03-30 15:29:55,Code.exe,TCP,192.168.1.101:63187,52.168.117.169:443,-,ESTABLISHED
2026-03-30 15:29:55,MEGAsync.exe,TCP,192.168.1.101:59025,185.206.25.61:443,-,ESTABLISHED
2026-03-30 15:29:55,MEGAsync.exe,TCP,192.168.1.101:56909,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:29:55,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:30:03,Code.exe,TCP,192.168.1.101:65464,140.82.114.21:443,-,ESTABLISHED
2026-03-30 15:30:03,Code.exe,TCP,192.168.1.101:50264,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:30:03,Code.exe,TCP,192.168.1.101:63116,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:30:03,Code.exe,TCP,192.168.1.101:57590,52.168.117.169:443,-,ESTABLISHED
2026-03-30 15:30:07,Code.exe,TCP,192.168.1.101:62426,13.107.226.34:443,-,ESTABLISHED
2026-03-30 15:30:07,Code.exe,TCP,192.168.1.101:63368,13.107.226.34:443,-,ESTABLISHED
